chirp_mass,chirp_mass_source,mass_1,mass_2,mass_ratio,luminosity_distance,chi_eff
30.968395,28.233804,41.388921,30.710837,0.74200623,458.42703,0.0092881403
31.697572,29.19089,40.034934,33.173495,0.82861372,403.44473,0.030806165
29.433692,27.283513,34.177725,33.447868,0.97864523,368.47829,-0.14814653
28.342551,25.914681,38.778846,27.49478,0.70901491,442.49108,-0.2138181
30.856463,27.530133,39.005623,32.266885,0.82723675,580.96369,-0.010169553
29.886829,26.712432,35.829442,32.907037,0.91843564,570.66408,-0.12276147
31.154351,28.084353,40.840126,31.465514,0.77045586,521.68376,-0.01454298
31.035519,27.843546,36.760274,34.580589,0.94070542,549.01274,-0.022527702
28.507121,25.812755,41.261462,26.252836,0.63625559,496.52779,-0.23051387
30.588099,28.647711,36.351314,33.970074,0.93449371,314.27411,-0.030674895
30.500775,27.480298,35.41405,34.663159,0.97879679,524.75832,-0.04576087
30.174185,28.121854,36.203338,33.196908,0.91695709,339.85738,-0.077737779
31.186372,28.035929,38.461048,33.400458,0.86842297,537.35496,-0.010331643
30.613014,27.428141,42.992878,28.985514,0.67419339,556.62356,-0.02383727
29.892854,27.745551,43.06475,27.647456,0.64199737,361.50575,-0.039465283
30.71541,28.066114,40.810802,30.628945,0.75051074,446.04586,-0.039495745
31.960574,28.985397,40.382531,33.436443,0.82799276,487.70271,0.076317274
31.365091,29.526827,37.480265,34.644701,0.92434514,287.76413,0.025595941
28.966674,26.625965,36.138158,30.677874,0.84890531,413.59447,-0.14130823
29.275747,26.52532,39.336997,28.886126,0.73432463,493.01751,-0.17858797
31.882205,29.810545,37.095006,36.158255,0.97474725,322.8431,0.020762014
29.366951,27.387571,39.315639,29.075931,0.73955128,336.40021,-0.12558091
31.485598,29.116699,44.129512,29.867233,0.6768086,381.06646,0.023265428
31.34414,28.315551,42.55088,30.630349,0.71985232,509.65458,-0.024857966
29.924592,27.693088,36.06227,32.78031,0.90899187,377.21699,-0.10362803
30.445868,27.861708,38.194478,32.072294,0.83971024,437.78713,-0.069827088
28.283632,26.007919,35.123598,30.088648,0.85665051,411.55138,-0.26550003
30.444177,27.572432,39.408468,31.119951,0.78967674,495.36644,-0.03923722
29.495519,27.345309,36.135276,31.794217,0.87986645,367.60612,-0.15630477
